trip_id,arrival_time,departure_time,stop_id,stop_sequence
700,4:20:00,4:20:00,20608,1
700,4:31:00,4:31:00,20616,2
700,4:42:00,4:42:00,20115,3
700,4:55:00,4:55:00,12006,4
700,5:05:00,5:05:00,01629,5
148,4:50:00,4:50:00,20608,1
148,5:03:00,5:03:00,20616,2
148,5:14:00,5:14:00,20115,3
148,5:19:00,5:19:00,20119,4
148,5:41:00,5:41:00,12006,5
148,5:52:00,5:52:00,01629,6
4,5:35:00,5:35:00,20608,1
4,5:48:00,5:48:00,20616,2
4,5:59:00,5:59:00,20115,3
4,6:04:00,6:04:00,20119,4
4,6:24:00,6:24:00,12006,5
4,6:35:00,6:35:00,01629,6
6,6:05:00,6:05:00,20608,1
6,6:18:00,6:18:00,20616,2
6,6:29:00,6:29:00,20115,3
6,6:34:00,6:34:00,20119,4
6,6:50:00,6:50:00,12006,5
6,7:01:00,7:01:00,01629,6
8,6:35:00,6:35:00,20608,1
8,6:48:00,6:48:00,20616,2
8,6:59:00,6:59:00,20115,3
8,7:04:00,7:04:00,20119,4
8,7:15:00,7:15:00,12006,5
8,7:26:00,7:26:00,01629,6
2,6:35:00,6:35:00,20608,1
2,6:48:00,6:48:00,20616,2
2,6:59:00,6:59:00,20115,3
2,7:04:00,7:04:00,20119,4
2,7:29:00,7:29:00,12006,5
2,7:40:00,7:40:00,01629,6
120,7:05:00,7:05:00,20608,1
120,7:18:00,7:18:00,20616,2
120,7:29:00,7:29:00,20115,3
120,7:34:00,7:34:00,20119,4
120,7:54:00,7:54:00,12006,5
120,8:05:00,8:05:00,01629,6
12,7:35:00,7:35:00,20608,1
12,7:48:00,7:48:00,20616,2
12,7:59:00,7:59:00,20115,3
12,8:04:00,8:04:00,20119,4
12,8:18:00,8:18:00,12006,5
12,8:28:00,8:28:00,01629,6
16,8:05:00,8:05:00,20608,1
16,8:18:00,8:18:00,20616,2
16,8:29:00,8:29:00,20115,3
16,8:34:00,8:34:00,20119,4
16,8:45:00,8:45:00,12006,5
16,8:56:00,8:56:00,01629,6
14,8:35:00,8:35:00,20608,1
14,8:48:00,8:48:00,20616,2
14,8:59:00,8:59:00,20115,3
14,9:04:00,9:04:00,20119,4
14,9:15:00,9:15:00,12006,5
14,9:26:00,9:26:00,01629,6
18,9:05:00,9:05:00,20608,1
18,9:18:00,9:18:00,20616,2
18,9:29:00,9:29:00,20115,3
18,9:34:00,9:34:00,20119,4
18,9:50:00,9:50:00,12006,5
18,10:01:00,10:01:00,01629,6




