shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
r6261200,46.04950,13.19030,1
r6261200,46.04910,13.19170,2
r6261200,46.04890,13.19230,3
r6261200,46.04880,13.19250,4
r6261200,46.04870,13.19300,5
r6261200,46.04870,13.19300,6
r6261200,46.04860,13.19330,7
r6261200,46.04860,13.19330,8
r6261200,46.04860,13.19340,9
r6261200,46.04830,13.19410,10
r6261200,46.04770,13.19590,11
r6261200,46.04750,13.19680,12
r6261200,46.04730,13.19730,13
r6261200,46.04710,13.19800,14
r6261200,46.04710,13.19800,15
r6261200,46.04770,13.19910,16
r6261200,46.04830,13.20060,17
r6261200,46.04840,13.20090,18
r6261200,46.04890,13.20190,19
r6261200,46.04890,13.20200,20
r6261200,46.04890,13.20200,21
r6261200,46.04910,13.20260,22
r6261200,46.04920,13.20270,23
r6261200,46.04920,13.20270,24
r6261200,46.04930,13.20310,25
r6261200,46.04930,13.20310,26
r6261200,46.04940,13.20310,27
r6261200,46.04940,13.20310,28
r6261200,46.04960,13.20360,29
r6261200,46.04960,13.20360,30
r6261200,46.04990,13.20430,31
r6261200,46.04990,13.20430,32
r6261200,46.04990,13.20450,33
r6261200,46.04990,13.20450,34
r6261200,46.05020,13.20510,35
r6261200,46.05020,13.20510,36
r6261200,46.05040,13.20560,37
r6261200,46.05040,13.20560,38
r6261200,46.05090,13.20670,39
r6261200,46.05090,13.20670,40
r6261200,46.05110,13.20720,41
r6261200,46.05110,13.20720,42
r6261200,46.05120,13.20740,43
r6261200,46.05130,13.20770,44
r6261200,46.05200,13.20930,45
r6261200,46.05200,13.20930,46
r6261200,46.05420,13.21450,47
r6261200,46.05420,13.21450,48
r6261200,46.05620,13.21900,49
r6261200,46.05720,13.22130,50
r6261200,46.05720,13.22130,51
r6261200,46.05820,13.22370,52
r6261200,46.06000,13.22790,53
r6261200,46.06000,13.22810,54
r6261200,46.06010,13.22820,55
r6261200,46.06010,13.22830,56
r6261200,46.06010,13.22830,57
r6261200,46.06000,13.22840,58
r6261200,46.06000,13.22850,59
r6261200,46.06000,13.22850,60
r6261200,46.06000,13.22870,61
r6261200,46.06000,13.22870,62
r6261200,46.06010,13.22880,63
r6261200,46.06010,13.22890,64
r6261200,46.06010,13.22890,65
r6261200,46.06020,13.22900,66
r6261200,46.06030,13.22900,67
r6261200,46.06040,13.22910,68
r6261200,46.06050,13.22920,69
r6261200,46.06050,13.22940,70
r6261200,46.06160,13.23210,71
r6261200,46.06150,13.23190,72
r6261200,46.06140,13.23170,73
