trip_id,arrival_time,departure_time,stop_id,stop_sequence
SWD12,8:40:00,8:40:00,123,1
SWD12,8:41:00,8:41:00,122a,2
SWD12,8:42:00,8:42:00,120a,3
SWD12,8:43:00,8:43:00,119a,4
SWD12,8:43:00,8:43:00,118a,5
SWD12,8:44:00,8:44:00,115a,6
SWD12,8:44:00,8:44:00,114a,7
SWD12,8:45:00,8:45:00,113a,8
SWD12,8:46:00,8:46:00,112a,9
SWD12,8:47:00,8:47:00,111a,10
SWD12,8:49:00,8:49:00,40,11
SWD12,8:50:00,8:50:00,39a,12
SWD12,8:51:00,8:51:00,37a,13
SWD12,8:52:00,8:52:00,24a,14
SWD12,8:53:00,8:53:00,4,15
SWD12,8:55:00,8:55:00,1a,16
SWD12,8:57:00,8:57:00,19a,17
SWD12,8:58:00,8:58:00,20,18
SWD12,8:59:00,8:59:00,21,19
SWD12,9:01:00,9:01:00,22a,20
SWD12,9:03:00,9:03:00,61,21
SWD12,9:04:00,9:04:00,317,22
SWD12,9:05:00,9:05:00,318,23
SWD12,9:06:00,9:06:00,319,24
SWD12,9:06:30,9:06:30,357a,25
SWD12,9:07:00,9:07:00,358,26
SWD12,9:08:00,9:08:00,359a,27
SWD12,9:09:00,9:09:00,360,28
SWD12,9:10:00,9:10:00,361,29
SWD12,9:10:00,9:10:00,378a,30
SWD12,9:11:00,9:11:00,380a,31
SWD12,9:12:00,9:12:00,389,32
SWD12,9:12:00,9:12:00,391a,33
SWD12,9:13:00,9:13:00,392,34
SWD12,9:14:00,9:14:00,393,35
SWD12,9:15:00,9:15:00,395,36
SWD12,9:15:00,9:15:00,396,37
SWD12,9:15:00,9:15:00,397,38
SWD1,06:10:00,06:10:00,137,1
SWD1,06:10:00,06:10:00,135,2
SWD1,06:11:00,06:11:00,134a,3
SWD1,06:11:00,06:11:00,133a,4
SWD1,06:12:00,06:12:00,132a,5
SWD1,06:13:00,06:13:00,131a,6
SWD1,06:13:00,06:13:00,129,7
SWD1,06:14:00,06:14:00,128,8
SWD1,06:14:00,06:14:00,127a,9
SWD1,06:15:00,06:15:00,126a,10
SWD1,06:16:00,06:16:00,117a,11
SWD1,06:17:00,06:17:00,115a,12
SWD1,06:18:00,06:18:00,114a,13
SWD1,06:18:00,06:18:00,113a,14
SWD1,06:19:00,06:19:00,112a,15
SWD1,06:19:00,06:19:00,111a,16
SWD1,06:20:00,06:20:00,40,17
SWD1,06:21:00,06:21:00,39a,18
SWD1,06:22:00,06:22:00,37a,19
SWD1,06:23:00,06:23:00,24a,20
SWD1,06:24:00,06:24:00,4,21
SWD1,06:25:00,06:25:00,1a,22
SWD1,06:26:00,06:26:00,19a,23
SWD1,06:27:00,06:27:00,20,24
SWD1,06:28:00,06:28:00,21,25
SWD1,06:28:00,06:28:00,22a,26
SWD1,06:29:00,06:29:00,61,27
SWD1,06:30:00,06:30:00,317,28
SWD1,06:31:00,06:31:00,318,29
SWD1,06:32:00,06:32:00,319,30
SWD1,06:32:00,06:32:00,357a,31
SWD1,06:33:00,06:33:00,358,32
SWD1,06:33:00,06:33:00,359a,33
SWD1,06:34:00,06:34:00,360,34
SWD1,06:35:00,06:35:00,361,35
SWD1,06:36:00,06:36:00,378a,36
SWD1,06:37:00,06:37:00,380a,37
SWD1,06:38:00,06:38:00,389,38
SWD1,06:38:00,06:38:00,391a,39
SWD1,06:40:00,06:40:00,399,40
SWD2,06:40:00,06:40:00,137,1
SWD2,06:40:00,06:40:00,135,2
SWD2,06:41:00,06:41:00,134a,3
SWD2,06:41:00,06:41:00,133a,4
SWD2,06:42:00,06:42:00,132a,5
SWD2,06:43:00,06:43:00,131a,06
SWD2,06:43:00,06:43:00,129,07
SWD2,06:44:00,06:44:00,128,8
SWD2,06:44:00,06:44:00,127a,9
SWD2,06:45:00,06:45:00,126a,10
SWD2,06:46:00,06:46:00,117a,11
SWD2,06:47:00,06:47:00,115a,12
SWD2,06:48:00,06:48:00,114a,13
SWD2,06:48:00,06:48:00,113a,14
SWD2,06:49:00,06:49:00,112a,15
SWD2,06:49:00,06:49:00,111a,16
SWD2,06:50:00,06:50:00,40,17
SWD2,06:51:00,06:51:00,39a,18
SWD2,06:52:00,06:52:00,37a,19
SWD2,06:53:00,06:53:00,24a,20
SWD2,06:54:00,06:54:00,4,21
SWD2,06:55:00,06:55:00,1a,22
SWD2,06:56:00,06:56:00,19a,23
SWD2,06:57:00,06:57:00,20,24
SWD2,06:58:00,06:58:00,21,25
SWD2,06:58:00,06:58:00,22a,26
SWD2,06:59:00,06:59:00,61,27
SWD2,07:00:00,07:00:00,317,28
SWD2,07:01:00,07:01:00,318,29
SWD2,07:02:00,07:02:00,319,30
SWD2,07:02:00,07:02:00,357a,31
SWD2,07:03:00,07:03:00,358,32
SWD2,07:03:00,07:03:00,359a,33
SWD2,07:04:00,07:04:00,360,34
SWD2,07:05:00,07:05:00,361,35
SWD2,07:06:00,07:06:00,378a,36
SWD2,07:07:00,07:07:00,380a,37
SWD2,07:08:00,07:08:00,389,38
SWD2,07:08:00,07:08:00,391a,39
SWD2,07:10:00,07:10:00,399,40











