trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
AWD1,8:40:00,8:40:00,123,1,,
AWD1,8:41:00,8:41:00,122a,2,,
AWD1,8:42:00,8:42:00,120a,3,,
AWD1,8:43:00,8:43:00,119a,4,,
AWD1,8:43:00,8:43:00,118a,5,,
AWD1,8:44:00,8:44:00,115a,6,,
AWD1,8:44:00,8:44:00,114a,7,,
AWD1,8:45:00,8:45:00,113a,8,,
AWD1,8:46:00,8:46:00,112a,9,,
AWD1,8:47:00,8:47:00,111a,10,,
AWD1,8:49:00,8:49:00,40,11,,
AWD1,8:50:00,8:50:00,39a,12,,
AWD1,8:51:00,8:51:00,37a,13,,
AWD1,8:52:00,8:52:00,24a,14,,
AWD1,8:53:00,8:53:00,4,15,,
AWD1,8:55:00,8:55:00,1a,16,,
AWD1,8:57:00,8:57:00,19a,17,,
AWD1,8:58:00,8:58:00,20,18,,
AWD1,8:59:00,8:59:00,21,19,,
AWD1,9:01:00,9:01:00,22a,20,,
AWD1,9:03:00,9:03:00,61,21,,
AWD1,9:04:00,9:04:00,317,22,,
AWD1,9:05:00,9:05:00,318,23,,
AWD1,9:06:00,9:06:00,319,24,,
AWD1,9:06:30,9:06:30,357a,25,,
AWD1,9:07:00,9:07:00,358,26,,
AWD1,9:08:00,9:08:00,359a,27,,
AWD1,9:09:00,9:09:00,360,28,,
AWD1,9:10:00,9:10:00,361,29,,
AWD1,9:10:00,9:10:00,378a,30,,
AWD1,9:11:00,9:11:00,380a,31,,
AWD1,9:12:00,9:12:00,389,32,,
AWD1,9:12:00,9:12:00,391a,33,,
AWD1,9:13:00,9:13:00,392,34,,
AWD1,9:14:00,9:14:00,393,35,,
AWD1,9:15:00,9:15:00,395,36,,
AWD1,9:15:00,9:15:00,396,37,,
AWD1,9:15:00,9:15:00,397,38,,
