stop_id,OSM_ref,stop_name,stop_lat,stop_lon
1,1,Ferrovia,46.0560941,13.2418728
1a,1,Ferrovia,46.0562030,13.2411689
4,4,D'Annunzio 23 Marzo,46.0577195,13.2468686
4a,4,D'Annunzio 23 Marzo,46.0570534,13.2453908
19,19,Caterina Percoto,46.0570449,13.2383765
19a,19,Caterina Percoto,46.0571404,13.2383879
20,20,Tribunale,46.0592069,13.2374212
20a,20,Tribunale,46.0590703,13.2373556
21,21,Garibaldi,46.0596142,13.2334989
21a,21,Garibaldi,46.0593123,13.2341896
22,22,Poscolle Gelso,46.0616651,13.2323988
22a,22,Poscolle Gelso,46.0612314,13.2330574
24,24,Giudice di Pace,46.0600421,13.2480540
24a,24,Giudice di Pace,46.0598648,13.2477523
37,37,Trieste / semaforo del Bon,46.0620088,13.2475995
37a,37,Trieste / semaforo del Bon,46.0629172,13.2470456
38,38,Trieste / Pola,46.0647556,13.2465781
39,39,Trieste / teatro nuovo,46.0663898,13.2456930
39a,39,Trieste / teatro nuovo,46.0660778,13.2454836
40,40,Oberdan,46.0675399,13.2446846
40a,40,Oberdan,46.0685377,13.2447490
61,61,42577,46.0607196,13.2285882
61a,61,42577,46.0603387,13.2291086
111,111,Via Cividale / Albona,46.0690524,13.2474479
111a,111,Via Cividale / Albona,46.0690138,13.2470564
112,112,Via Cividale / Stella,46.0701783,13.2504409
112a,112,Via Cividale / Stella,46.0702234,13.2503384
113,113,Via Cividale / Fruch,46.0710112,13.2521866
113a,113,Via Cividale / Fruch,46.0711306,13.2521497
114,114,Via Cividale / Brigata Re,46.0719426,13.2560484
114a,114,Via Cividale / Brigata Re,46.0719872,13.2558055
115,115,Via Cividale / Natisone,46.0720976,13.2591835
115a,115,Via Cividale / Natisone,46.0722292,13.2602336
117,117,Di Giusto / scuola Girardini,46.0737741,13.2639238
117a,117,Di Giusto / scuola Girardini,46.0728743,13.2641784
118,118,Via Cividale / scuola Girardini,46.0725506,13.2651301
118a,118,Via Cividale / scuola Girardini,46.0727176,13.2652129
119,119,Caserma Cavarzerani,46.0739670,13.2698597
119a,119,Caserma Cavarzerani,46.0741228,13.2699671
120,120,Via Cividale / chiesa San Gottardo,46.0754773,13.2751334
120a,120,Via Cividale / chiesa San Gottardo,46.0756561,13.2754389
122,122,Via Cividale Bariglaria,46.0762579,13.2788499
122a,122,Via Cividale Bariglaria,46.0762001,13.2785299
122b,122,Via Cividale Bariglaria,46.0756550,13.2797348
123,123,Capolinea Resistenza,46.0759250,13.2828339
126,126,Di Giusto / scuole Bellavitis e Fritz,46.0767104,13.2624112
126a,126,Di Giusto / scuole Bellavitis e Fritz,46.0764601,13.2620957
127,127,Di Giusto / Periz,46.0782684,13.2609534
127a,127,Di Giusto / Periz,46.0784340,13.2605399
128,128,25 Aprile / scuole Bellavitis e Fritz,46.0773714,13.2624584
129,129,25 Aprile / campo rugby,46.0780982,13.2648805
131,131,Garibaldi Osoppo / Afro,46.0772866,13.2673328
131a,131,Garibaldi Osoppo / Afro,46.0773995,13.2671168
132,132,Garibaldi Osoppo / Mirko,46.0781016,13.2703655
132a,132,Garibaldi Osoppo / Mirko,46.0781877,13.2699447
133,133,Forze Armate / Mirko,46.0775782,13.2731619
133a,133,Forze Armate / Mirko,46.0777576,13.2730644
134,134,Forze Armate / Bariglaria,46.0783151,13.2757742
134a,134,Forze Armate / Bariglaria,46.0784560,13.2756334
135,135,Argentina / Bariglaria,46.0776552,13.2774466
135a,135,Argentina / Bariglaria,46.0776784,13.2776650
137,137,Capolinea Argentina,46.0782540,13.2790640
317,317,Questura,46.0596144,13.2266767
317a,317,Questura,46.0594945,13.2266679
318,318,Venezia / Volturno,46.0585227,13.2242838
318a,318,Venezia / Volturno,46.0584253,13.2243434
319,319,Venezia Firenze,46.0571133,13.2208368
319a,319,Venezia Firenze,46.0574156,13.2219727
357,357,Venezia / Nervesa,46.0559113,13.2184319
357a,357,Venezia / Nervesa,46.0562381,13.2187239
358,358,Venezia / chiesa San Giuseppe,46.0550431,13.2160389
358a,358,Venezia / chiesa San Giuseppe,46.0550074,13.2164017
359,359,Venezia / Birago,46.0539533,13.2139289
359a,359,Venezia / Birago,46.0537971,13.2131269
360,360,Policlinico,46.0526831,13.2104579
360a,360,Policlinico,46.0528862,13.2114687
361,361,Venezia / Ternova,46.0514625,13.2076531
361a,361,Venezia / Ternova,46.0513295,13.2078345
362,362,Polizia Stradale,46.0496663,13.2039465
378,378,Santa Caterina / Torino,46.0482911,13.2007228
378a,378,Santa Caterina / Torino,46.0489449,13.2017382
380,380,Santa Caterina / Roma,46.0472640,13.1983668
380a,380,Santa Caterina / Roma,46.0481622,13.2000047
381,381,Via Lignano / Santa Caterina,46.0457494,13.1972616
381a,381,Via Lignano / Santa Caterina,46.0459146,13.1972621
382,382,Via Santa Caterina,46.0426581,13.1988338
383,383,Rose / Tigli,46.0391925,13.2014514
384,384,Betulle,46.0421213,13.2043854
385,385,Mimose,46.0435886,13.2016333
386,386,Capolinea Primavera,46.0397476,13.2043729
389,389,Roma / Novara,46.0474911,13.1972403
391,391,Roma / Torino,46.0487494,13.1928968
391a,391,Roma / Torino,46.0485943,13.1937346
392,392,ENAIP,46.0522242,13.1935888
393,393,Leonardo da Vinci / scuole,46.0543866,13.1928143
395,395,Nostra Famiglia,46.0553986,13.1910536
396,396,Via Passons / Garibaldi,46.0529134,13.1883382
397,397,Capolinea Matteotti,46.0501505,13.1875064
399,399,Capolinea Municipio,46.0494714,13.1906173
